date,title,artist,weeks,current,peak,previous,,
2019/5/25,I Don't Care,Ed Sheeran & Justin Bieber,2,10,10,26,,
2019/5/18,Dark Knight,ONE N' ONLY,1,1,0,0,,
2019/5/18,Marigold,Aimyon,44,2,1,1,,
2019/5/18,Lemon,Kenshi Yonezu,65,3,1,2,,
2019/5/18,Haru No Hi,Aimyon,7,4,2,3,,
2019/5/18,Hakujitsu,King Gnu,12,5,5,5,,
2019/5/18,Fancy,TWICE,3,6,4,4,,
2019/5/18,Remember Me,Man With A Mission,1,7,0,0,,
2019/5/18,Pretender,Official Hige Dandism,4,8,8,20,,
2019/5/18,Boy With Luv,BTS Featuring Halsey,5,9,7,7,,
2019/5/18,Wasted Nights,ONE OK ROCK,15,10,6,9,,
2019/5/11,Marigold,Aimyon,43,1,1,4,,
2019/5/11,Lemon,Kenshi Yonezu,64,2,1,6,,
2019/5/11,Haru No Hi,Aimyon,6,3,2,3,,
2019/5/11,Fancy,TWICE,2,4,4,7,,
2019/5/11,Hakujitsu,King Gnu,11,5,5,9,,
2019/5/11,ME!,Taylor Swift Featuring Brendon Urie,2,6,6,30,,
2019/5/11,Boy With Luv,BTS Featuring Halsey,4,7,7,10,,
2019/5/11,Paprika,Foorin,19,8,8,16,,
2019/5/11,Wasted Nights,ONE OK ROCK,14,9,6,12,,
2019/5/11,Kyun,Hinatazaka 46,8,10,1,13,,
2019/5/4,Ame Nochi Hare,Johnny's WEST,1,1,0,0,,
2019/5/4,Sagase Diamond Lily,Love,1,2,0,0,,
2019/5/4,Haru No Hi,Aimyon,5,3,2,2,,
2019/5/4,Marigold,Aimyon,42,4,2,3,,
2019/5/4,Gurenge,LiSA,1,5,0,0,,
2019/5/4,Lemon,Kenshi Yonezu,63,6,1,5,,
2019/5/4,Fancy,TWICE,1,7,0,0,,
2019/5/4,Fake Me Fake Me Out,Da-iCE,1,8,0,0,,
2019/5/4,Hakujitsu,King Gnu,10,9,6,10,,
2019/5/4,Boy With Luv,BTS Featuring Halsey,3,10,7,7,,
2019/4/27,Otona Survivor,Last Idol,1,1,0,0,,
2019/4/27,Haru No Hi,Aimyon,4,2,2,7,,
2019/4/27,Marigold,Aimyon,41,3,2,3,,
2019/4/27,Ichirinsou,Sayaka Yamamoto,3,4,4,36,,
2019/4/27,Lemon,Kenshi Yonezu,62,5,1,4,,
2019/4/27,Brand New Parade,Gang Parade,1,6,0,0,,
2019/4/27,Boy With Luv,BTS Featuring Halsey,2,7,7,13,,
2019/4/27,Kyun,Hinatazaka 46,6,8,1,8,,
2019/4/27,Kill This Love,BLACKPINK,3,9,6,6,,
2019/4/27,Hakujitsu,King Gnu,9,10,6,15,,
2019/4/20,Ishi,HKT48,1,1,0,0,,
2019/4/20,Koi Ha Accha Accha,Angerme,1,2,0,0,,
2019/4/20,Marigold,Aimyon,40,3,2,3,,
2019/4/20,Lemon,Kenshi Yonezu,61,4,1,4,,
2019/4/20,Supermoon,Hiroomi Tosaka,1,5,0,0,,
2019/4/20,Kill This Love,BLACKPINK,2,6,6,14,,
2019/4/20,Haru No Hi,Aimyon,3,7,7,8,,
2019/4/20,Kyun,Hinatazaka 46,5,8,1,2,,
2019/4/20,Happy Birthday,back number,8,9,2,7,,
